Table Name,Category,App Name,OS,Device Count
Table 2,Games > Casual,DoubleDown Casino - Free Slots,Android,2403
Table 2,Games > Casino,Heart of Vegas™ Slots – Free Slot Casino Games,Android,2386
Table 2,Games > Casual,PCH Slots,Android,2305
Table 2,Games > Puzzle,Infinity Slots™ Free Online Casino Slots Machines,Android,2295
Table 2,Games,Slots WOW™ Free Slot Machines Casino & Pokies,iOS,2242
Table 2,Games,FaFaFa™ Gold Slots Casino,iOS,2216
Table 2,Games,Cash Billionaire Slots: Free 777 Vegas Casino Game,iOS,2208
Table 2,Games > Puzzle,Club Vegas - NEW Slots Casino,Android,2181
Table 2,Business,Vegas Legend - Free & Super Jackpot Slots,webOS,2142
Table 2,Games > Puzzle,Slots: Hot Vegas Slot Machines Casino & Free Games,Web0S,2102
Table 2,Games > Puzzle,Slots of Immortality™ - Free Casino Slot Games,Android,2067
Table 2,Games > Puzzle,Slots Prosperity ™,Android,2040
Table 2,Games > Card,Cashman Casino Las Vegas Slots,Android,2017
Table 2,Games,PCH Slots,iPadOS,1754
Table 2,Games,Tycoon Casino™ - Vegas Slots,iOS,1728
