app_name,os,audience_name,audience_id,estimated_count,status
POP! Slots - Free Vegas Casino Slot Machine Games,Android,US_Android_POP Slots Free Vegas Casino Slot Machine Games_PIE,6962643558435,0,⚠ Empty
Slots Billionaire - Free Casino Slot Games!,Android,US_Android_Slots Billionaire Free Casino Slot Games_PIE,6962643714235,0,⚠ Empty
my KONAMI Slots - Free Vegas Casino Slot Machines,Android,US_Android_my KONAMI Slots Free Vegas Casino Slot Machines_PIE,6962643871635,0,⚠ Empty
Jackpot Boom Free Slots : Spin Vegas Casino Games,iOS,US_iOS_Jackpot Boom Free Slots Spin Vegas Casino Games_PIE,6962644050835,0,⚠ Empty
Classic Slots™: Vegas Casino,Android,US_Android_Classic Slots Vegas Casino_PIE,6962644160235,0,⚠ Empty
Slots Era: Best Online Casino Slots Machines,iOS,US_iOS_Slots Era Best Online Casino Slots Machines_PIE,6962644349035,0,⚠ Empty
Zynga Poker - Texas Holdem,iOS,US_iOS_Zynga Poker Texas Holdem_PIE,6962644459235,0,⚠ Empty
Zynga Poker – Texas Holdem,iOS,US_iOS_Zynga Poker Texas Holdem_PIE,6962644459235,0,⚠ Empty
Solitaire Poker Games,iOS,US_iOS_Solitaire Poker Games_PIE,6962644804835,0,⚠ Empty
Holdem or Foldem - Poker Texas Holdem,Android,US_Android_Holdem or Foldem Poker Texas Holdem_PIE,6962645100835,0,⚠ Empty
Video Poker Deluxe,Android,US_Android_Video Poker Deluxe_PIE,6962645303235,0,⚠ Empty
Mega Hit Poker: Texas Holdem massive tournament,iPadOS,US_iPadOS_Mega Hit Poker Texas Holdem massive tournament_PIE,6962645866235,0,⚠ Empty
Governor of Poker 3 - Texas Holdem Poker Online,Android,US_Android_Governor of Poker 3 Texas Holdem Poker Online_PIE,6962646560235,0,⚠ Empty
Poker Offline - Free Texas Holdem Poker Games,Apple TV Software,US_Apple TV Software_Poker Offline Free Texas Holdem Poker Games_PIE,6962647429035,0,⚠ Empty
Texas Holdem & Omaha Poker: Pokerist,Android,US_Android_Texas Holdem and Omaha Poker Pokerist_PIE,6962647782835,0,⚠ Empty
